,ID,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,GDCD,Địa,Sử
1,02000001,6.6,,,,6.25,5.2,7.25,7.0,5.75
2,02000002,8.2,,,,7.75,7.0,8.5,7.25,7.0
3,02000003,6.8,,,,6.75,6.0,8.25,7.75,4.75
4,02000004,7.8,5.5,6.25,7.0,6.25,5.6,,,
5,02000005,6.4,6.75,6.25,5.5,6.5,8.2,,,
6,02000006,6.8,,,,7.5,8.0,8.5,7.5,6.75
7,02000007,8.4,7.5,7.25,5.25,8.25,6.4,,,
8,02000008,6.8,5.0,4.5,3.5,7.0,4.4,,,
9,02000009,7.2,,,,8.0,8.4,8.75,8.25,6.75
10,02000010,8.4,8.0,7.0,4.0,7.75,6.4,,,
11,02000011,6.4,,,,7.75,5.2,8.5,6.5,6.25
12,02000012,8.0,,,,5.25,8.2,9.25,8.0,7.25
13,02000013,8.4,7.75,7.75,5.75,5.75,5.8,,,
14,02000014,8.4,,,,7.5,9.2,7.75,7.25,8.0
15,02000015,8.2,6.25,6.75,5.25,6.75,8.6,,,
16,02000016,8.6,6.25,6.75,5.5,6.75,7.2,,,
17,02000017,8.6,7.25,7.25,7.75,6.75,8.8,,,
18,02000018,8.0,,,,6.5,8.0,7.5,6.5,3.75
19,02000019,8.2,6.0,8.25,7.75,4.5,7.2,,,
20,02000020,8.4,6.75,5.25,5.25,6.25,7.4,,,
21,02000021,7.4,6.0,8.5,5.5,6.25,7.0,,,
22,02000022,8.8,8.0,4.0,5.75,6.0,6.4,,,
23,02000023,7.4,5.75,6.0,5.0,6.5,4.8,,,
24,02000024,7.2,7.75,3.25,6.25,8.0,5.4,,,
25,02000025,8.4,,,,8.0,8.4,7.5,7.25,5.75
26,02000026,8.2,,,,7.0,6.6,7.5,7.0,6.25
27,02000027,7.6,6.25,8.5,5.0,7.0,6.4,,,
28,02000028,7.6,5.5,7.25,5.25,7.0,6.6,,,
29,02000029,7.8,7.25,8.25,7.5,5.25,7.0,,,
30,02000030,8.2,7.75,8.5,7.5,7.5,,,,
31,02000031,7.8,,,,7.5,6.8,8.25,5.0,5.25
32,02000032,7.8,,,,8.0,7.6,8.0,7.75,5.0
33,02000033,8.4,,,,7.25,7.0,8.0,7.0,7.0
34,02000034,7.8,7.5,7.25,3.0,6.5,,,,
35,02000035,6.8,,,,5.5,5.0,7.25,7.0,4.0
36,02000036,7.6,7.5,7.25,6.75,6.0,7.4,,,
37,02000037,7.2,,,,5.5,5.0,7.75,5.5,5.0
38,02000038,7.8,,,,7.0,6.8,7.5,7.5,7.25
39,02000039,7.2,,,,7.0,5.2,7.75,6.5,4.0
40,02000040,8.2,8.25,7.25,4.75,6.75,5.2,,,
41,02000041,6.8,7.25,7.0,5.75,6.75,7.4,,,
42,02000042,8.2,7.25,4.75,3.0,7.0,8.2,,,
43,02000043,7.4,7.25,7.0,3.25,7.25,6.8,,,
44,02000044,8.2,4.75,6.75,5.75,6.5,5.4,,,
45,02000045,7.6,6.5,4.5,4.75,6.25,8.0,,,
46,02000046,8.2,6.5,6.0,4.5,6.75,4.2,,,
47,02000047,8.6,7.5,6.25,5.25,6.75,6.0,,,
48,02000048,6.6,,,,7.0,6.2,6.75,4.75,4.5
49,02000049,7.8,,,,8.25,6.2,9.25,6.75,6.25
50,02000050,8.0,8.25,6.0,2.75,7.75,7.4,,,
51,02000051,7.6,,,,7.25,7.4,7.0,6.0,3.75
52,02000052,8.6,8.0,6.5,5.75,7.25,8.8,,,
53,02000053,6.8,,,,6.75,8.4,9.5,7.25,6.75
54,02000054,9.2,8.0,6.0,6.25,6.5,7.0,,,
55,02000055,8.8,6.75,7.5,4.75,7.25,8.6,,,
56,02000056,8.6,8.0,6.25,4.75,7.25,6.6,,,
57,02000057,7.0,,,,6.5,6.2,8.0,6.0,6.5
58,02000058,8.2,8.25,7.5,3.75,6.75,6.0,,,
59,02000059,8.4,,,,7.5,8.2,9.0,7.0,7.75
60,02000060,6.6,5.0,6.5,6.5,4.25,7.4,,,
61,02000061,5.2,,,,6.75,4.0,6.25,5.5,2.75
62,02000062,6.6,6.0,6.75,6.0,7.25,4.6,,,
63,02000063,6.2,,,,7.0,7.0,7.75,6.5,5.25
64,02000064,8.2,7.5,6.0,5.75,7.75,7.8,,,
65,02000065,7.8,5.25,6.5,5.0,8.25,8.2,,,
66,02000066,7.0,7.75,7.5,6.0,7.0,6.2,,,
67,02000067,7.0,7.75,6.5,7.25,5.5,7.2,,,
68,02000068,8.4,7.25,6.0,3.75,6.5,9.6,,,
69,02000069,7.6,5.5,7.5,5.75,8.0,5.8,,,
70,02000070,7.0,,,,6.0,5.6,8.5,6.5,4.5
71,02000071,6.2,6.5,5.0,3.75,6.25,7.4,,,
72,02000072,8.4,8.0,8.0,5.5,7.75,7.8,,,
73,02000073,9.0,7.5,6.75,7.75,8.5,6.4,,,
74,02000074,8.6,5.75,8.25,6.75,8.0,7.2,,,
75,02000075,7.6,7.25,7.75,5.5,8.0,6.4,,,
76,02000076,8.2,,,,8.5,8.2,9.0,7.5,7.25
77,02000077,7.2,6.75,6.75,5.5,7.5,5.8,,,
78,02000078,7.8,,,,7.0,7.0,8.5,8.25,5.75
79,02000079,7.4,,,,7.5,7.0,8.75,6.5,6.25
80,02000080,5.2,,,,5.5,5.8,7.5,6.0,3.75
81,02000081,8.6,6.75,5.5,7.25,5.5,8.4,,,
82,02000082,8.4,7.0,6.0,4.25,6.5,7.2,,,
83,02000083,7.6,4.75,5.75,5.5,7.0,7.2,,,
84,02000084,7.6,7.5,5.75,6.5,5.5,9.2,,,
85,02000085,7.8,,,,6.5,7.2,9.0,7.25,5.25
86,02000086,6.2,4.0,5.0,6.25,7.0,6.0,,,
87,02000087,6.6,,,,7.0,7.8,9.0,8.0,6.25
88,02000088,8.0,7.25,5.25,5.25,6.5,5.8,,,
89,02000089,9.0,9.0,8.5,6.25,6.25,6.8,,,
90,02000090,7.6,5.0,6.75,5.5,6.5,7.2,,,
91,02000091,4.8,,,,5.75,5.8,4.75,4.25,2.5
92,02000092,6.8,6.0,3.25,2.5,5.0,7.0,,,
93,02000093,9.2,7.5,7.0,5.5,5.25,9.2,,,
94,02000094,7.0,4.75,5.75,5.5,6.0,5.0,,,
95,02000095,8.0,8.0,8.0,4.25,7.0,6.0,,,
96,02000096,8.8,7.5,5.75,6.25,7.0,5.4,,,
97,02000097,8.8,7.5,5.25,4.75,6.5,8.4,,,
98,02000098,5.6,,,,5.75,6.4,8.0,6.25,5.5
99,02000099,9.4,7.75,6.75,6.5,6.5,9.0,,,
100,02000100,8.2,,,,7.5,8.2,8.25,7.25,6.75
101,02000101,7.8,5.75,6.5,4.25,6.75,7.0,,,
102,02000102,8.4,7.75,6.25,6.75,6.25,7.0,,,
103,02000103,8.2,,,,6.5,7.6,8.0,6.75,7.5
104,02000104,8.0,6.75,7.75,6.0,6.0,6.8,,,
105,02000105,8.2,3.75,7.5,7.25,5.5,7.2,,,
106,02000106,8.2,8.0,7.0,4.0,6.0,7.8,,,
107,02000107,6.6,7.75,3.25,6.0,4.0,4.4,,,
108,02000108,8.6,8.25,7.75,7.75,6.75,6.4,,,
109,02000109,7.8,5.0,8.25,5.25,6.5,6.2,,,
110,02000110,7.8,,,,7.25,8.0,9.5,8.0,5.5
111,02000111,8.6,6.0,8.0,6.25,7.25,5.0,,,
112,02000112,7.6,,,,6.75,7.6,8.75,8.25,6.5
113,02000113,6.8,,,,7.5,8.6,8.0,8.0,5.75
114,02000114,6.0,,,,7.0,6.6,8.5,6.75,5.5
115,02000115,8.2,,,,7.25,8.2,9.25,8.5,7.0
116,02000116,8.6,7.25,8.0,6.0,7.5,6.6,,,
117,02000117,8.4,7.5,7.0,6.25,7.5,8.0,,,
118,02000118,7.2,,,,7.0,5.4,7.5,7.5,8.0
119,02000119,8.8,4.5,8.0,7.0,4.25,8.6,,,
120,02000120,7.4,6.0,6.5,5.0,6.25,7.2,,,
121,02000121,5.6,,,,8.25,6.2,8.25,7.75,5.75
122,02000122,7.8,4.5,7.75,4.25,8.25,7.4,,,
123,02000123,5.6,,,,6.75,9.6,8.0,7.25,5.0
124,02000124,8.4,3.75,6.25,4.0,7.0,6.4,,,
125,02000125,8.8,8.25,6.0,6.25,5.75,6.6,,,
126,02000126,8.0,6.75,5.25,4.75,7.5,9.0,,,
127,02000127,7.2,,,,7.25,5.6,9.0,7.75,6.25
128,02000128,7.2,7.25,4.75,6.0,6.25,7.0,,,
129,02000129,7.6,,,,6.5,4.0,8.75,6.5,6.0
130,02000130,6.6,5.5,4.75,4.75,6.25,5.4,,,
131,02000131,9.6,8.25,8.5,7.0,7.5,8.2,,,
132,02000132,5.0,,,,6.5,4.0,8.75,4.0,5.0
133,02000133,8.2,6.0,7.25,4.75,7.25,9.6,,,
134,02000134,6.6,6.75,5.0,4.5,6.75,6.4,,,
135,02000135,8.6,,,,6.75,8.2,7.25,6.5,6.25
136,02000136,8.0,6.0,7.0,5.25,6.16,4.4,,,
137,02000137,7.4,7.25,5.5,4.5,7.0,6.8,,,
138,02000138,7.4,5.75,5.75,5.75,6.25,5.4,,,
139,02000139,8.2,9.0,7.25,5.25,7.75,5.6,,,
140,02000140,6.0,,,,7.0,2.4,7.25,6.0,4.25
141,02000141,7.2,5.5,6.5,4.75,7.0,4.8,,,
142,02000142,6.8,,,,7.25,6.2,9.0,7.0,6.25
143,02000143,7.8,7.25,8.0,5.5,7.0,6.2,,,
144,02000144,5.6,,,,6.0,5.4,8.5,6.5,4.75
145,02000145,8.8,8.75,5.25,6.25,6.0,8.4,,,
146,02000146,7.0,5.25,6.5,6.5,6.0,5.0,,,
147,02000147,8.6,6.0,6.25,4.75,5.75,3.8,,,
148,02000148,8.0,6.75,5.5,5.0,7.5,4.8,,,
149,02000149,8.0,4.75,6.0,4.75,7.0,9.0,,,
150,02000150,8.2,6.25,5.0,4.5,7.5,7.6,,,
151,02000151,5.4,,,,6.75,5.4,7.0,6.5,2.75
152,02000152,7.4,,,,7.5,6.8,8.25,7.25,7.5
153,02000153,7.6,,,,7.5,9.4,7.25,6.75,5.75
154,02000154,6.2,,,,3.5,6.8,8.25,6.75,4.75
155,02000155,8.4,5.75,6.0,4.75,7.5,4.6,,,
156,02000156,8.6,8.0,8.0,4.75,7.0,5.0,,,
157,02000157,8.2,5.75,8.5,7.0,7.5,5.0,,,
158,02000158,7.4,4.5,7.25,4.75,7.25,7.8,,,
159,02000159,9.4,8.25,7.75,5.5,7.25,7.4,,,
160,02000160,8.4,6.5,5.0,4.75,5.5,6.6,,,
161,02000161,7.0,5.25,5.5,4.75,6.75,6.4,,,
162,02000162,8.8,7.0,6.75,5.25,6.5,6.6,,,
163,02000163,8.8,9.0,7.25,5.75,6.75,9.0,,,
164,02000164,8.2,7.0,7.75,5.5,6.5,5.4,,,
165,02000165,8.8,3.75,5.75,5.25,8.25,7.8,,,
166,02000166,8.0,7.0,8.0,7.25,7.0,4.8,,,
167,02000167,8.0,6.75,7.25,5.75,6.75,5.6,,,
168,02000168,8.4,,,,8.0,8.6,9.25,6.0,5.25
169,02000169,8.8,7.75,7.25,4.0,7.0,7.8,,,
170,02000170,8.4,,,,8.25,6.6,9.0,7.25,5.0
171,02000171,8.6,7.5,7.0,4.0,5.67,8.0,,,
172,02000172,8.2,,,,7.25,5.6,7.0,7.25,4.75
173,02000173,8.8,8.0,8.25,7.0,6.75,8.6,,,
174,02000174,9.0,8.75,8.25,5.5,7.75,7.6,,,
175,02000175,8.2,,,,8.0,6.0,7.5,7.75,7.0
176,02000176,8.6,6.75,6.0,6.5,7.0,8.8,,,
177,02000177,7.8,,,,7.0,7.2,8.5,7.0,7.5
178,02000178,9.2,7.75,6.0,6.5,6.5,7.8,,,
179,02000179,8.6,7.75,7.0,6.5,7.0,9.2,,,
180,02000180,7.0,,,,6.0,4.2,7.25,5.5,5.5
181,02000181,8.6,6.75,7.25,3.5,6.5,5.6,,,
182,02000182,7.0,,,,7.0,7.8,7.5,7.0,6.5
183,02000183,7.8,7.0,5.5,4.5,7.5,8.8,,,
184,02000184,8.4,7.5,5.0,6.5,4.25,8.8,,,
185,02000185,8.4,8.25,6.25,4.75,6.25,7.2,,,
186,02000186,7.8,6.75,4.75,5.25,7.25,6.6,,,
187,02000187,8.2,8.25,7.25,5.0,6.5,5.2,,,
188,02000188,8.4,8.0,5.5,5.25,7.5,8.2,,,
189,02000189,8.2,6.75,4.75,5.75,5.75,6.8,,,
190,02000190,7.8,5.5,4.5,5.0,6.0,8.4,,,
191,02000191,9.2,7.25,7.5,4.75,6.0,6.6,,,
192,02000192,8.4,7.25,5.0,3.5,4.75,7.4,,,
193,02000193,7.6,6.75,5.25,5.75,6.25,7.6,,,
194,02000194,7.4,6.25,7.5,6.5,6.75,7.2,,,
195,02000195,8.2,7.0,7.75,6.25,7.5,7.0,,,
196,02000196,8.2,7.0,6.0,5.0,7.0,6.6,,,
197,02000197,5.4,,,,5.75,3.2,6.5,5.25,3.75
198,02000198,5.2,7.0,4.75,5.0,7.0,6.2,,,
199,02000199,8.6,8.25,5.0,3.5,7.5,8.4,,,
200,02000200,7.4,,,,7.0,9.2,8.0,7.25,8.25
201,02000201,7.8,3.5,5.5,5.0,7.0,7.8,,,
202,02000202,8.0,,,,6.75,6.4,9.5,9.0,9.25
203,02000203,7.6,,,,7.0,6.2,7.0,6.75,3.5
204,02000204,7.6,7.75,8.25,5.25,6.5,6.2,,,
205,02000205,7.8,5.75,7.25,7.0,6.75,6.6,,,
206,02000206,8.2,7.75,7.75,6.25,6.0,7.2,,,
207,02000207,7.6,8.25,8.5,5.0,6.75,6.6,,,
208,02000208,8.2,7.5,6.0,5.5,6.75,8.2,,,
209,02000209,7.8,4.5,6.75,6.0,5.5,7.0,,,
210,02000210,9.0,,,,6.75,8.8,8.25,7.25,7.5
211,02000211,9.0,7.75,8.0,6.0,7.0,7.6,,,
212,02000212,5.8,,,,6.0,4.6,7.0,6.0,6.25
213,02000213,8.2,6.75,6.75,4.25,6.0,5.6,,,
214,02000214,8.0,,,,7.0,8.4,8.5,7.75,6.75
215,02000215,8.6,,,,9.0,6.0,8.75,8.75,9.25
216,02000216,9.2,7.75,8.5,5.5,6.75,,,,
217,02000217,9.2,7.25,5.5,6.5,4.0,8.2,,,
218,02000218,8.2,7.5,8.0,7.25,6.5,6.0,,,
219,02000219,8.2,7.25,5.25,4.25,6.5,7.8,,,
220,02000220,6.6,6.0,5.75,5.5,5.5,3.0,,,
221,02000221,8.0,5.25,7.25,6.25,6.75,8.8,,,
222,02000222,8.6,7.5,5.5,5.25,7.5,8.8,,,
223,02000223,6.8,6.5,7.75,5.5,7.0,8.2,,,
224,02000224,7.6,,,,7.75,8.2,8.5,7.5,6.75
225,02000225,7.8,6.75,6.0,5.75,7.25,7.2,,,
226,02000226,8.2,5.5,7.75,7.5,6.0,6.0,,,
227,02000227,8.6,6.5,5.25,4.25,7.0,6.6,,,
228,02000228,8.0,7.75,7.0,5.0,4.75,6.8,,,
229,02000229,6.4,,,,7.0,7.2,9.25,8.25,5.5
230,02000230,8.8,8.0,7.5,4.25,8.0,8.4,,,
231,02000231,8.6,7.0,8.5,7.5,8.0,8.4,,,
232,02000232,7.2,,,,6.25,8.8,9.0,8.25,9.0
233,02000233,6.6,5.5,5.0,5.0,7.75,6.2,,,
234,02000234,6.8,3.25,5.5,2.75,7.5,7.8,,,
235,02000235,5.0,,,,6.75,2.2,7.25,5.5,4.75
236,02000236,8.4,7.75,6.0,5.0,6.0,8.0,,,
237,02000237,8.0,7.25,7.5,4.5,6.5,7.4,,,
238,02000238,7.4,3.75,5.25,5.0,7.25,4.4,,,
239,02000239,8.4,,,,6.75,7.4,9.0,8.25,8.5
240,02000240,8.8,7.75,6.75,5.5,6.5,7.4,,,
241,02000241,6.0,,,,5.5,7.4,8.5,7.0,5.5
242,02000242,7.2,5.0,6.75,7.5,5.5,6.6,,,
243,02000243,9.2,7.75,8.25,6.25,4.25,6.0,,,
244,02000244,8.6,7.75,6.0,7.25,7.25,6.2,,,
245,02000245,4.4,,,,5.25,3.6,8.0,8.25,4.75
